Author/Writer,About the Author,AuthorID
Emmanuel S. Nelson,"Emmanuel S. Nelson is Associate Professor of English at State University College at Cortland, NY. He is the editor of “Connections: Essays on Black Literatures” (1988), “Reworlding: The Literature of Indian Diaspora” (1992), “AIDS: The Literary Response” (1992), “Bharati Mukherjee: Critical Perspectives” (1993), and “Contemporary Gay American Novelists: A Bio-Bibliographical Critical Sourcebook” (1993) and has published numerous articles on ethnic, postcolonial, and gay literatures.",351
Roshan Lal Sharma,"Roshan Lal Sharma teaches English and American literature in the Postgraduate Department of English at Government Degree College, Solan (H.P.). He was awarded Fulbright Senior Research Fellowship during 2007-08 to work on his book project on “Envisioning Walt Whitman from Sufic Perspective” at the University of Wisconsin-Madison. He has also been an Associate Fellow at the Indian Institute of Advanced Study, Shimla during 2004-06. Winner of the Isaac Sequeira Memorial Award for the best paper presented during Melus-Melow 2007 International Conference, Sharma has authored “Mount Karol and Other Poems” (2008) and “Walt Whitman: A Critical Evaluation” (2000), and co-edited “New Vistas” (2004) and “Under the Spotlight” (2002).",352
Uma Parameswaran,"Uma Parameswaran was born and educated in India, and has lived in Canada since 1966. She has a Ph.D. from Michigan State University and is Professor of English at the University of Winnipeg. She is the author of numerous critical essays on postcolonial literatures and of several works of fiction, including “Riding High with Krishna and a Baseball Bat  Other Stories” (2006), “Mangoes on the Maple Tree” (2002), “The Sweet Smell of Mother’s Milk-Wet Bodice” (2001), and award winning “What was Always Hers” (1999). She lives in Winnipeg with her husband, who is a mathematician.",353
Ajaya Kumar Sahoo and Brij Maharaj (Eds.)," Ajaya Kumar Sahoo is Lecturer at the Centre for the Study of Indian Diaspora, University of Hyderabad, India. His areas of research interests include International Migration, Indian Diaspora, Sociology of Religion and Social Movements.  Brij Maharaj is Professor of Geography at the University of KwaZulu-Natal, Pietermaritzburg, South Africa. He was previously Head of Geography, University of Durban-Westville. His areas of research interests include Cultural Geography, International Migration, and Indian Diaspora.  ",354
Ravender Kumar Kaul,"A prolific writer and a distinguished teacher, Ravender Kumar Kaul is presently Lecturer at the Amity Institute of Behavioural and Allied Sciences (AIBAS), Noida.",355
Pravin Sheth ,"Pravin Sheth is former Head, Department of Political Science, Gujarat University, and Visiting Professor, Peace Research Center, Gujarat Vidyapith, Ahmedabad. He also worked as a Charles Wallace Trust Senior Fellow, University of Hull, UK, and studied/researched at the University of Pennsylvania, Philadelphia (USA). Besides research-based books he has published numerous articles in reputed journals, or books edited by eminent social scientists. He has also participated in national and international seminars/conferences. He now lives in USA. ",356
Manjit Inder Singh ,"Manjit Inder Singh is on the faculty of English, Punjabi University, Patiala.His chief areas of interest are Indian, African, West Indian, Canadian and other Third World literatures. He has published an anthology of poems, Milestones, and The Poetics of Alienation and Identity: V.S. Naipaul and George Lamming.",357
C. Vijayasree,"C. Vijayasree is Professor of English at Osmania University, Hyderabad, where she teaches courses in postcolonial literatures and women’s writing. Her other publications include: Robert Browning 2000 (1996), Mulk Raj Anand: The Raj and the Writer (1998) and Remapping Culture: The Nobel Laureates of the Last Decade (1998). She has edited the Telugu section of an anthology of short stories translated into English from South Indian languages entitled Routes (2000). She is presently working on a monograph on Srinivasa Iyengar for Sahitya Akademi.",358
Ravi Chaturvedi (Ed.),"Ravi Chaturvedi, currently Visiting Professor at the Department of Theatre  Film Studies, Chung-Ang University at Seoul (Republic of Korea), has been formerly Associate Professor and Head of the Department of Dramatics, University of Rajasthan, Jaipur. Besides the founder president of Indian Society for Theatre Research, he has also been the executive member of International Federation for Theatre Research (IFTR) for eight years. His publications include the “World Encyclopedia of Contemporary Theatre” and the recently edited book “Ethnicity and Identity: Global Performance.” He is also on the Editorial Board of the “Theatre Research International, ” published by Cambridge University Press. He organized the first conference of IFTR in Asia in 2003 at Jaipur. He is also a professional theatre director.",359
"Urmil Talwar, Bandana Chakrabarty (eds)","Urmil Talwar is on the faculty of English at B.G.D. Government Girls College, Shahpura. An RES, she worked for her doctoral thesis with Professor Kaul on “The Role of Public Schools in Shaping the Literary Culture of England during 1920s and 1930s”. Co-editor of Literary Debates, she has published papers on British fiction and theory.Bandana Chakrabarty is on the faculty of English at Government College, Gangapurcity. Also an RES, she has worked for her doctoral dissertation on “The Feminist Questioning in the Short Stories of Alice Munro” with Professor Santosh Gupta and has published papers on Canadian writers and feminist issues.",360
Aparna Tiwari,"Aparna Tiwari is Associate Professor of Sociology at Banasthali Vidyapith, Rajasthan. Her main area of research includes water resources and its management in society. She has published research papers in reputed journals. She is also an associate member of Women Studies and Research Centre, Banasthali Vidyapith and completed minor research project on Status of Women in Rajasthan. She has also worked in research projects supported by development agencies like NABARD and UNDP. She has received NFP Award for attending a course at UNESCO-IHE, (Institute for Water Education) Delft, The Netherlands.",361
Elina Penttinen and Anitta Kynsilehto,"Elina Penttinen is Lecturer in Gender Studies in the Department of Philosophy, History, Culture and Art Studies, at the University of Helsinki.Anitta Kynsilehto is Academy of Finland Postdoctoral Fellow at the Tampere Peace Research Institute in the University of Tampere.",362
"Sita Vanka, Rekha Pande and Bharat Chillakuri (Eds.)","Sita Vanka is currently a Senior Professor at the School of Management Studies, University of Hyderabad, Hyderabad, India. She is also a Joint Professor of Women’s Studies at the same university. She has over three decades of experience in the areas of Management, Educational Management, Human Resource Management, Entrepreneurship and Women’s Studies. She is a teacher, trainer, consultant and a researcher in Management. She is on the Board of Directors of two companies. She has published six books and more than sixty papers in reputed journals. Travelled widely, she has visited countries like USA, Canada, France, UAE, China and Germany, on academic assignments.Rekha Pande is Head of the Centre for Women’s Studies and a Professor in the Department of History at the University of Hyderabad, Hyderabad. She was the Director and Chair of the 12th Women World Congress (2014) organized in Hyderabad. She is the founding member of two Centres for Women’s Studies, one at Maulana Azad National Urdu University and the other at University of Hyderabad. She has to her credit fourteen books and more than 150 articles published in national and international journals and books. She has been the Editor of International Feminist Journal of Politics (IFJP), Routledge Taylor and Francis Group, UK and Foreign Policy Analysis, Blackwell, USA.Bharat Chillakuri is as a Client Account Manager at Deloitte U.S. Offices. He has more than ten years of experience in Account Management, Market Research, and Human Capital. He is also a visiting professor at various business schools in India teaching general management and change management. His research interests include Strategic Human Resource Management, New Age Workforce, Sustainability Development, Corporate Social Responsibility, and Sustainable Strategies. Bharat is a recipient of Santander Doctoral Scholarship for the year 2015 and was invited to participate in the Santander International Summer School at University of Heidelberg, Germany. Bharat holds a Ph.D in Management from University of Hyderabad.",363
